titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
LOCAL COMERCIAL DE ARRIENDO 80 M2 SECTOR AMERICA,400,Pichincha,"Pichincha, Buenos Aires & Estados Unidos, Quito, Ecuador",3.0,2.0,80.0,1.0,Quito
Departamento Amplio en el Norte de Quito,380,Pichincha,"Pichincha, Callde de los Guabos y de las Cucardas, sector el Inca",3.0,2.0,120.0,1.0,sector el Inca
Local en Renta Terracota,450,Pichincha,"Pichincha, Sangolquí, Ecuador",3.0,1.0,110.0,1.0,Sangolquí
Hermoso departamento Remodelado centro norte,480,Pichincha,"Pichincha, Sector Mariana de Jesús, Calle Nuño de Valderrama y Mariana de Jesús",2.0,3.0,115.0,1.0,Calle Nuño de Valderrama y Mariana de Jesús
DEPARTAMENTO EN RENTA EN LA DIEGO DE ALMAGRO,100,Pichincha,"Pichincha, Whymper & Diego de Almagro, Quito 170517, Ecuador",2.0,2.0,1.0,1.0,Quito
ARRIENDO OFICINA EN SANGOLQUI VALLE DE LOS CHILLOS,230,Pichincha,"Pichincha, Sangolquí, Ecuador",3.0,1.0,53.0,1.0,Sangolquí
"RENTA AMPLIO DEPARTAMENTO 3D, ORIENTE QUITEÑO",1500,Pichincha,"Pichincha, Quiteño Libre & Fernando Ayarza, Quito, Ecuador",3.0,4.0,196.0,2.0,Quito
SUITE AMOBLADA DE RENTA TUMBACO,650,Pichincha,"Pichincha, Tumbaco, Quito, Ecuador",1.0,1.0,70.0,1.0,Quito
"OFICINAS DE ARRIENDO 210 M2, SECTOR COMERCIAL NORTE",500,Pichincha,"Pichincha, Cuero y Caicedo, Quito, Ecuador",3.0,2.0,210.0,2.0,Quito
"RENTA AMPLIO LOCAL 225 m2 DUPLEX, EDIFICIO FORESTA",1800,Pichincha,"Pichincha, Alonso De Torres & Av. Edmundo Carvajal, Quito 170132, Ecuador",3.0,2.0,253.0,3.0,Quito
BODEGA DE ARRIENDO 500m2 EN EL INCA BUENOS AIRES,1350,Pichincha,"Pichincha, San Isidro del Inca, Quito, Ecuador",3.0,2.0,500.0,4.0,Quito
HERMOSA Y CONFORTABLE CASA EN RENTA LA PAMPA,600,Pichincha,"Pichincha, La Pampa, Quito, Ecuador",3.0,2.0,137.0,2.0,Quito
EXCELENTE DEPARTAMENTO SECTOR “QUICENTRO SHOPPING”,600,Pichincha,"Pichincha, Quicentro Shopping, Avenida 6 de Diciembre, Quito, Ecuador",4.0,3.0,240.0,2.0,Quito
"EN RENTA DEPARTAMENTO, CONJUNTO DIVINO NIÑO",120,Pichincha,"Pichincha, Turubamaba, Ecuador",2.0,1.0,48.0,1.0,Turubamaba
ARRIENDO BODAGA EN EL SECTOR DE FAJARDO,1300,Pichincha,"Pichincha, Avenida Puruhaes, Quito, Ecuador",3.0,2.0,324.0,5.0,Quito
ARRIENDO BODEGA EN EL SECTOR DE FAJARDO,1300,Pichincha,"Pichincha, Avenida Puruhaes, Quito, Ecuador",3.0,2.0,324.0,1.0,Quito
SUITE AMOBLADA DE ALQUILER EN LA PRADERA,550,Pichincha,"Pichincha, La Pradera, Quito, Ecuador",1.0,1.0,72.0,1.0,Quito
duplex en arriendo puente dos,400,Pichincha,"Pichincha, Autopista General Rumiñahui, Quito, Ecuador",4.0,5.0,300.0,1.0,Quito
